time; Fan; Charger; Hair dryer; Lamp; Toaster; Vacuum; Water kettle; 
1636804868.1097844; 0; 0; 0; 0; 0; 0; 0; 
1636804869.1360824; 0; 0; 0; 0; 0; 0; 0; 
1636804870.1642337; 0; 0; 0; 0; 0; 0; 0; 
1636804871.1926677; 0; 0; 0; 0; 0; 0; 0; 
1636804872.2210057; 0; 0; 0; 0; 0; 0; 0; 
1636804873.249216; 0; 0; 0; 0; 0; 0; 0; 
1636804874.2771184; 0; 0; 0; 0; 0; 1; 0; 
1636804875.3052764; 0; 0; 0; 0; 0; 1; 0; 
1636804876.333898; 0; 0; 0; 0; 0; 1; 0; 
1636804877.3620443; 0; 0; 0; 0; 0; 1; 0; 
1636804878.3907902; 0; 0; 0; 0; 0; 1; 0; 
1636804879.419597; 0; 0; 0; 0; 0; 1; 0; 
1636804880.448604; 0; 0; 0; 0; 0; 1; 0; 
1636804881.4802165; 0; 0; 0; 0; 0; 1; 0; 
1636804882.5083187; 0; 0; 0; 0; 0; 1; 0; 
1636804883.5363925; 1; 0; 0; 0; 0; 1; 0; 
1636804884.565049; 1; 0; 0; 0; 0; 1; 0; 
1636804885.5928855; 1; 0; 0; 0; 0; 1; 0; 
1636804886.6208525; 1; 0; 0; 0; 0; 1; 0; 
1636804887.6492872; 1; 0; 0; 0; 0; 1; 0; 
1636804888.6775434; 1; 0; 0; 0; 0; 1; 0; 
1636804889.7060158; 1; 0; 0; 0; 0; 1; 0; 
1636804890.7345836; 1; 0; 0; 0; 0; 1; 0; 
1636804891.7625067; 1; 0; 0; 0; 0; 1; 0; 
1636804892.7905092; 1; 0; 0; 0; 0; 1; 0; 
1636804893.8191755; 1; 0; 0; 0; 0; 1; 0; 
1636804894.8474925; 1; 0; 0; 1; 0; 1; 0; 
1636804895.8758006; 1; 0; 0; 1; 0; 1; 0; 
1636804896.904163; 1; 0; 0; 1; 0; 1; 0; 
1636804897.9329538; 1; 0; 0; 1; 0; 1; 0; 
1636804898.9613938; 1; 0; 0; 1; 0; 1; 0; 
1636804899.9897807; 1; 0; 0; 1; 0; 1; 0; 
1636804901.0180242; 1; 0; 0; 1; 0; 1; 0; 
1636804902.0463758; 1; 0; 0; 1; 0; 1; 0; 
1636804903.0738864; 1; 0; 0; 1; 0; 1; 0; 
1636804904.1021676; 1; 0; 0; 1; 0; 1; 0; 
1636804905.1349137; 1; 0; 0; 1; 0; 1; 0; 
1636804906.1630173; 1; 0; 0; 1; 0; 1; 0; 
1636804907.1912754; 0; 0; 0; 1; 0; 1; 0; 
1636804908.2197664; 0; 0; 0; 1; 0; 1; 0; 
1636804909.248319; 0; 0; 0; 1; 0; 1; 0; 
1636804910.2763364; 0; 0; 0; 1; 0; 1; 0; 
1636804911.306449; 0; 0; 0; 1; 0; 1; 0; 
1636804912.334797; 0; 0; 0; 1; 0; 1; 0; 
1636804913.3632944; 0; 0; 0; 1; 0; 1; 0; 
1636804914.3914602; 0; 0; 0; 1; 0; 1; 0; 
1636804915.419492; 0; 0; 0; 1; 0; 0; 0; 
1636804916.4477296; 0; 0; 0; 1; 0; 0; 0; 
1636804917.4757268; 0; 0; 0; 1; 0; 0; 0; 
1636804918.503806; 0; 0; 0; 1; 0; 0; 0; 
1636804919.5321617; 0; 0; 0; 1; 0; 0; 0; 
1636804920.5601032; 0; 0; 0; 1; 0; 0; 0; 
1636804921.5886235; 0; 0; 0; 1; 0; 0; 0; 
1636804922.6167295; 0; 0; 0; 1; 0; 0; 0; 
1636804923.645086; 0; 0; 0; 1; 0; 0; 0; 
1636804924.6741168; 0; 0; 0; 1; 0; 0; 0; 
1636804925.7027688; 0; 0; 0; 0; 0; 0; 0; 
1636804926.7307951; 0; 0; 0; 0; 0; 0; 0; 
1636804927.759731; 0; 0; 0; 0; 0; 0; 0; 
1636804928.788932; 0; 0; 0; 0; 0; 0; 0; 
1636804929.8178427; 0; 0; 0; 0; 0; 0; 0; 
1636804930.8456216; 0; 0; 0; 0; 0; 0; 0; 
1636804931.8734818; 0; 0; 0; 0; 0; 0; 0; 
1636804932.9019172; 0; 0; 0; 0; 0; 0; 0; 
1636804933.9305778; 0; 0; 0; 0; 0; 0; 0; 
1636804934.9591513; 0; 0; 0; 0; 0; 0; 0; 
1636804935.986847; 0; 0; 0; 0; 0; 0; 0; 
1636804937.0160992; 1; 0; 0; 0; 0; 0; 0; 
1636804938.0439794; 1; 0; 0; 0; 0; 0; 0; 
1636804939.0737112; 1; 0; 0; 0; 0; 0; 0; 
1636804940.1049144; 1; 0; 0; 0; 0; 0; 0; 
1636804941.1333866; 1; 0; 0; 0; 0; 0; 0; 
1636804942.161297; 1; 0; 0; 0; 0; 0; 0; 
1636804943.1894872; 1; 0; 0; 0; 0; 0; 0; 
1636804944.2178545; 1; 0; 0; 0; 0; 0; 0; 
1636804945.246429; 1; 0; 0; 0; 0; 0; 0; 
1636804946.2738316; 1; 0; 0; 0; 0; 0; 0; 
1636804947.3019223; 1; 0; 0; 0; 0; 0; 0; 
1636804948.330168; 1; 0; 1; 0; 0; 0; 0; 
1636804949.3580256; 1; 0; 1; 0; 0; 0; 0; 
1636804950.3861704; 1; 0; 1; 0; 0; 0; 0; 
1636804951.4144092; 1; 0; 1; 0; 0; 0; 0; 
1636804952.4429023; 1; 0; 1; 0; 0; 0; 0; 
1636804953.4712799; 0; 0; 1; 0; 0; 0; 0; 
1636804954.4998016; 0; 0; 1; 0; 0; 0; 0; 
1636804955.5280225; 0; 0; 1; 0; 0; 0; 0; 
1636804956.5559874; 0; 0; 1; 0; 0; 0; 0; 
1636804957.5846217; 0; 0; 1; 0; 0; 0; 0; 
1636804958.613357; 0; 0; 1; 0; 0; 0; 0; 
1636804959.6411011; 0; 0; 1; 0; 0; 0; 0; 
1636804960.6696494; 0; 0; 1; 0; 0; 0; 0; 
1636804961.6980453; 0; 0; 1; 0; 0; 0; 0; 
1636804962.726321; 0; 0; 1; 0; 0; 0; 0; 
1636804963.7542567; 0; 0; 1; 0; 0; 0; 0; 
1636804964.782264; 0; 0; 1; 0; 0; 0; 0; 
1636804965.8101716; 0; 0; 1; 0; 0; 0; 0; 
1636804966.8381221; 0; 0; 1; 0; 0; 0; 0; 
1636804967.8664706; 0; 0; 1; 0; 0; 0; 0; 
1636804968.896511; 0; 0; 1; 0; 0; 0; 0; 
1636804969.9246492; 0; 0; 1; 0; 0; 0; 0; 
1636804970.9526677; 0; 0; 1; 0; 0; 0; 0; 
1636804971.9809444; 0; 0; 0; 0; 0; 0; 0; 
1636804973.0094814; 0; 0; 0; 0; 0; 0; 0; 
1636804974.037803; 0; 0; 0; 0; 0; 0; 0; 
1636804975.0664463; 0; 0; 0; 0; 0; 0; 0; 
1636804976.095373; 0; 0; 0; 0; 0; 0; 0; 
1636804977.1238773; 0; 0; 0; 0; 0; 0; 0; 
1636804978.152411; 0; 0; 0; 0; 0; 0; 0; 
1636804979.1808662; 0; 0; 0; 0; 0; 0; 0; 
1636804980.2094204; 0; 0; 0; 0; 0; 0; 0; 
1636804981.237642; 0; 0; 0; 0; 0; 0; 0; 
1636804982.265833; 0; 0; 0; 0; 0; 0; 0; 
1636804983.293982; 0; 0; 0; 0; 0; 0; 0; 
1636804984.3221574; 0; 0; 0; 0; 0; 0; 0; 
1636804985.350199; 0; 0; 0; 0; 0; 0; 0; 
1636804986.378386; 0; 0; 0; 0; 0; 0; 0; 
1636804987.405747; 0; 0; 0; 0; 0; 0; 0; 
1636804988.4334087; 0; 0; 0; 0; 0; 0; 0; 
1636804989.4619093; 0; 0; 0; 0; 0; 0; 0; 
1636804990.4894297; 0; 0; 0; 0; 0; 0; 0; 
1636804991.5174727; 0; 0; 0; 0; 0; 0; 0; 
1636804992.5454552; 0; 0; 0; 0; 0; 0; 0; 
1636804993.5742126; 0; 0; 0; 0; 0; 0; 0; 
1636804994.602153; 0; 0; 0; 0; 0; 0; 0; 
1636804995.6313095; 0; 0; 0; 0; 0; 0; 0; 
1636804996.6597083; 0; 0; 0; 0; 0; 0; 1; 
1636804997.6874194; 0; 0; 0; 0; 0; 0; 1; 
1636804998.7158782; 0; 0; 0; 0; 0; 0; 1; 
1636804999.7442222; 0; 0; 0; 0; 0; 0; 1; 
1636805000.773422; 0; 0; 0; 0; 0; 0; 1; 
1636805001.8022442; 0; 0; 0; 0; 0; 0; 1; 
1636805002.8310547; 0; 0; 0; 0; 0; 0; 1; 
1636805003.8599935; 0; 0; 0; 0; 0; 0; 1; 
1636805004.8879442; 0; 0; 0; 0; 0; 0; 1; 
1636805005.9161222; 0; 0; 0; 0; 0; 0; 1; 
1636805006.9445353; 1; 0; 0; 0; 0; 0; 1; 
1636805007.9726768; 1; 0; 0; 0; 0; 0; 1; 
1636805009.0015519; 1; 0; 0; 0; 0; 0; 1; 
1636805010.0300505; 1; 0; 0; 0; 0; 0; 1; 
1636805011.0585027; 1; 0; 0; 0; 0; 0; 1; 
1636805012.0863557; 1; 0; 0; 0; 0; 0; 1; 
1636805013.1147063; 1; 0; 0; 0; 0; 0; 1; 
1636805014.1433964; 1; 0; 0; 0; 0; 0; 1; 
1636805015.1714277; 1; 0; 0; 0; 0; 0; 1; 
1636805016.1998947; 1; 0; 0; 0; 0; 0; 1; 
1636805017.2285354; 1; 0; 0; 0; 0; 1; 1; 
1636805018.2564967; 1; 0; 0; 0; 0; 1; 1; 
1636805019.2850835; 1; 0; 0; 0; 0; 1; 1; 
1636805020.3138862; 1; 0; 0; 0; 0; 1; 1; 
1636805021.3424544; 1; 0; 0; 0; 0; 1; 1; 
1636805022.3707902; 0; 0; 0; 0; 0; 1; 1; 
1636805023.3992321; 0; 0; 0; 0; 0; 1; 1; 
1636805024.4285321; 0; 0; 0; 0; 0; 1; 1; 
1636805025.4576395; 0; 0; 0; 0; 0; 1; 1; 
1636805026.4865575; 0; 0; 0; 0; 0; 1; 1; 
1636805027.5148373; 0; 0; 0; 0; 0; 1; 0; 
1636805028.5437148; 0; 0; 0; 0; 0; 1; 0; 
1636805029.5733516; 0; 0; 0; 0; 0; 1; 0; 
1636805030.6054852; 0; 0; 0; 0; 0; 1; 0; 
1636805031.6339183; 0; 0; 0; 0; 0; 1; 0; 
1636805032.662578; 0; 0; 0; 0; 0; 1; 0; 
1636805033.6910555; 0; 0; 0; 0; 0; 1; 0; 
1636805034.718875; 0; 0; 0; 0; 0; 1; 0; 
1636805035.7482066; 0; 0; 0; 0; 0; 1; 0; 
1636805036.7764435; 0; 0; 0; 0; 0; 1; 0; 
1636805037.8046784; 0; 0; 0; 0; 0; 1; 0; 
1636805038.8332024; 0; 0; 0; 0; 0; 1; 0; 
1636805039.8614502; 0; 0; 0; 0; 0; 1; 0; 
1636805040.8901446; 0; 0; 0; 0; 0; 1; 0; 
1636805041.9195418; 0; 0; 0; 0; 0; 1; 0; 
1636805042.9477043; 0; 0; 0; 0; 0; 1; 0; 
1636805043.9755652; 0; 0; 0; 0; 0; 1; 0; 
1636805045.0038106; 0; 0; 0; 0; 0; 1; 0; 
1636805046.0319796; 0; 0; 0; 0; 0; 1; 0; 
1636805047.060356; 0; 0; 0; 0; 0; 1; 0; 
1636805048.0888302; 0; 0; 0; 0; 0; 1; 0; 
1636805049.1179705; 0; 0; 0; 0; 0; 0; 0; 
1636805050.1466916; 0; 0; 0; 0; 0; 0; 0; 
1636805051.1747365; 0; 0; 0; 0; 0; 0; 0; 
1636805052.2025266; 0; 0; 0; 0; 0; 0; 0; 
